date,Country/Region,Province/State,Confirmed,Deaths,Recovered,Latitude,Longitude,Active
2020-01-22,France,,0,0,0,,,0
2020-01-23,France,,0,0,0,,,0
2020-01-24,France,,2,0,0,,,2
2020-01-25,France,,3,0,0,,,3
2020-01-26,France,,3,0,0,,,3
2020-01-27,France,,3,0,0,,,3
2020-01-28,France,,4,0,0,,,4
2020-01-28,Germany,Bavaria,4,0,0,,,4
2020-01-29,France,,5,0,0,,,5
2020-01-29,Germany,Bavaria,4,0,0,,,4
2020-01-29,Finland,,1,0,0,,,1
2020-01-30,France,,5,0,0,,,5
2020-01-30,Germany,Bavaria,4,0,0,,,4
2020-01-30,Finland,,1,0,0,,,1
2020-01-31,France,,5,0,0,,,5
2020-01-31,Germany,Bavaria,5,0,0,,,5
2020-01-31,Italy,,2,0,0,,,2
2020-01-31,Finland,,1,0,0,,,1
2020-01-31,Sweden,,1,0,0,,,1
2020-02-01,Germany,,8,0,0,,,8
2020-02-01,France,,6,0,0,,,6
2020-02-01,Italy,,2,0,0,,,2
2020-02-01,Finland,,1,0,0,,,1
2020-02-01,Spain,,1,0,0,,,1
2020-02-01,Sweden,,1,0,0,,,1
2020-02-02,Germany,,10,0,0,,,10
2020-02-02,France,,6,0,0,,,6
2020-02-02,Italy,,2,0,0,,,2
2020-02-02,Finland,,1,0,0,,,1
2020-02-02,Spain,,1,0,0,,,1
2020-02-02,Sweden,,1,0,0,,,1
2020-02-03,Germany,,12,0,0,,,12
2020-02-03,France,,6,0,0,,,6
2020-02-03,Italy,,2,0,0,,,2
2020-02-03,Finland,,1,0,0,,,1
2020-02-03,Spain,,1,0,0,,,1
2020-02-03,Sweden,,1,0,0,,,1
2020-02-04,Germany,,12,0,0,,,12
2020-02-04,France,,6,0,0,,,6
2020-02-04,Italy,,2,0,0,,,2
2020-02-04,Belgium,,1,0,0,,,1
2020-02-04,Finland,,1,0,0,,,1
2020-02-04,Spain,,1,0,0,,,1
2020-02-04,Sweden,,1,0,0,,,1
2020-02-05,Germany,,12,0,0,,,12
2020-02-05,France,,6,0,0,,,6
2020-02-05,Italy,,2,0,0,,,2
2020-02-05,Belgium,,1,0,0,,,1
2020-02-05,Finland,,1,0,0,,,1
2020-02-05,Spain,,1,0,0,,,1
2020-02-05,Sweden,,1,0,0,,,1
2020-02-06,Germany,,12,0,0,,,12
2020-02-06,France,,6,0,0,,,6
2020-02-06,Italy,,2,0,0,,,2
2020-02-06,Belgium,,1,0,0,,,1
2020-02-06,Finland,,1,0,0,,,1
2020-02-06,Spain,,1,0,0,,,1
2020-02-06,Sweden,,1,0,0,,,1
2020-02-07,Germany,,13,0,0,,,13
2020-02-07,France,,6,0,0,,,6
2020-02-07,Italy,,3,0,0,,,3
2020-02-07,Belgium,,1,0,0,,,1
2020-02-07,Finland,,1,0,0,,,1
2020-02-07,Spain,,1,0,0,,,1
2020-02-07,Sweden,,1,0,0,,,1
2020-02-08,Germany,,13,0,0,,,13
2020-02-08,France,,11,0,0,,,11
2020-02-08,Italy,,3,0,0,,,3
2020-02-08,Belgium,,1,0,0,,,1
2020-02-08,Finland,,1,0,0,,,1
2020-02-08,Spain,,1,0,0,,,1
2020-02-08,Sweden,,1,0,0,,,1
2020-02-09,Germany,,14,0,0,,,14
2020-02-09,France,,11,0,0,,,11
2020-02-09,Italy,,3,0,0,,,3
2020-02-09,Spain,,2,0,0,,,2
2020-02-09,Belgium,,1,0,0,,,1
2020-02-09,Finland,,1,0,0,,,1
2020-02-09,Sweden,,1,0,0,,,1
2020-02-10,Germany,,14,0,0,,,14
2020-02-10,France,,11,0,0,,,11
2020-02-10,Italy,,3,0,0,,,3
2020-02-10,Spain,,2,0,0,,,2
2020-02-10,Belgium,,1,0,0,,,1
2020-02-10,Finland,,1,0,0,,,1
2020-02-10,Sweden,,1,0,0,,,1
2020-02-11,Germany,,16,0,0,,,16
2020-02-11,France,,11,0,0,,,11
2020-02-11,Italy,,3,0,0,,,3
2020-02-11,Spain,,2,0,0,,,2
2020-02-11,Belgium,,1,0,0,,,1
2020-02-11,Finland,,1,0,0,,,1
2020-02-11,Sweden,,1,0,0,,,1
2020-02-12,Germany,,16,0,0,,,16
2020-02-12,France,,11,0,2,,,9
2020-02-12,Italy,,3,0,0,,,3
2020-02-12,Spain,,2,0,0,,,2
2020-02-12,Belgium,,1,0,0,,,1
2020-02-12,Finland,,1,0,1,,,0
2020-02-12,Sweden,,1,0,0,,,1
2020-02-13,Germany,,16,0,1,,,15
2020-02-13,France,,11,0,2,,,9
2020-02-13,Italy,,3,0,0,,,3
2020-02-13,Spain,,2,0,0,,,2
2020-02-13,Belgium,,1,0,0,,,1
2020-02-13,Finland,,1,0,1,,,0
2020-02-13,Sweden,,1,0,0,,,1
2020-02-14,Germany,,16,0,1,,,15
2020-02-14,France,,11,0,2,,,9
2020-02-14,Italy,,3,0,0,,,3
2020-02-14,Spain,,2,0,0,,,2
2020-02-14,Belgium,,1,0,0,,,1
2020-02-14,Finland,,1,0,1,,,0
2020-02-14,Sweden,,1,0,0,,,1
2020-02-15,Germany,,16,0,1,,,15
2020-02-15,France,,12,1,4,,,7
2020-02-15,Italy,,3,0,0,,,3
2020-02-15,Spain,,2,0,2,,,0
2020-02-15,Belgium,,1,0,0,,,1
2020-02-15,Finland,,1,0,1,,,0
2020-02-15,Sweden,,1,0,0,,,1
2020-02-16,Germany,,16,0,1,,,15
2020-02-16,France,,12,1,4,,,7
2020-02-16,Italy,,3,0,0,,,3
2020-02-16,Spain,,2,0,2,,,0
2020-02-16,Belgium,,1,0,0,,,1
2020-02-16,Finland,,1,0,1,,,0
2020-02-16,Sweden,,1,0,0,,,1
2020-02-17,Germany,,16,0,1,,,15
2020-02-17,France,,12,1,4,,,7
2020-02-17,Italy,,3,0,0,,,3
2020-02-17,Spain,,2,0,2,,,0
2020-02-17,Belgium,,1,0,1,,,0
2020-02-17,Finland,,1,0,1,,,0
2020-02-17,Sweden,,1,0,0,,,1
2020-02-18,Germany,,16,0,12,,,4
2020-02-18,France,,12,1,4,,,7
2020-02-18,Italy,,3,0,0,,,3
2020-02-18,Spain,,2,0,2,,,0
2020-02-18,Belgium,,1,0,1,,,0
2020-02-18,Finland,,1,0,1,,,0
2020-02-18,Sweden,,1,0,0,,,1
2020-02-19,Germany,,16,0,12,,,4
2020-02-19,France,,12,1,4,,,7
2020-02-19,Italy,,3,0,0,,,3
2020-02-19,Spain,,2,0,2,,,0
2020-02-19,Belgium,,1,0,1,,,0
2020-02-19,Finland,,1,0,1,,,0
2020-02-19,Sweden,,1,0,0,,,1
2020-02-20,Germany,,16,0,12,,,4
2020-02-20,France,,12,1,4,,,7
2020-02-20,Italy,,3,0,0,,,3
2020-02-20,Spain,,2,0,2,,,0
2020-02-20,Belgium,,1,0,1,,,0
2020-02-20,Finland,,1,0,1,,,0
2020-02-20,Sweden,,1,0,0,,,1
2020-02-21,Italy,,20,1,0,,,19
2020-02-21,Germany,,16,0,14,,,2
2020-02-21,France,,12,1,4,,,7
2020-02-21,Spain,,2,0,2,,,0
2020-02-21,Belgium,,1,0,1,,,0
2020-02-21,Finland,,1,0,1,,,0
2020-02-21,Sweden,,1,0,0,,,1
2020-02-22,Italy,,62,2,1,,,59
2020-02-22,Germany,,16,0,14,,,2
2020-02-22,France,,12,1,4,,,7
2020-02-22,Spain,,2,0,2,,,0
2020-02-22,Belgium,,1,0,1,,,0
2020-02-22,Finland,,1,0,1,,,0
2020-02-22,Sweden,,1,0,0,,,1
2020-02-23,Italy,,155,3,2,,,150
2020-02-23,Germany,,16,0,14,,,2
2020-02-23,France,,12,1,4,,,7
2020-02-23,Spain,,2,0,2,,,0
2020-02-23,Belgium,,1,0,1,,,0
2020-02-23,Finland,,1,0,1,,,0
2020-02-23,Sweden,,1,0,0,,,1
2020-02-24,Italy,,229,7,1,,,221
2020-02-24,Germany,,16,0,14,,,2
2020-02-24,France,,12,1,4,,,7
2020-02-24,Spain,,2,0,2,,,0
2020-02-24,Belgium,,1,0,1,,,0
2020-02-24,Finland,,1,0,1,,,0
2020-02-24,Sweden,,1,0,0,,,1
2020-02-25,Italy,,322,10,1,,,311
2020-02-25,Germany,,17,0,14,,,3
2020-02-25,France,,14,1,11,,,2
2020-02-25,Spain,,6,0,2,,,4
2020-02-25,Austria,None,2,0,0,,,2
2020-02-25,Belgium,,1,0,1,,,0
2020-02-25,Croatia,,1,0,0,,,1
2020-02-25,Finland,,1,0,1,,,0
2020-02-25,Sweden,,1,0,0,,,1
2020-02-25,Switzerland,,1,0,0,,,1
2020-02-26,Italy,,453,12,3,,,438
2020-02-26,Germany,,27,0,15,,,12
2020-02-26,France,,18,2,11,,,5
2020-02-26,Spain,,13,0,2,,,11
2020-02-26,Croatia,,3,0,0,,,3
2020-02-26,Austria,,2,0,0,,,2
2020-02-26,Finland,,2,0,1,,,1
2020-02-26,Sweden,,2,0,0,,,2
2020-02-26,Belgium,,1,0,1,,,0
2020-02-26,Greece,,1,0,0,,,1
2020-02-26,North Macedonia,,1,0,0,,,1
2020-02-26,Norway,,1,0,0,,,1
2020-02-26,Romania,,1,0,0,,,1
2020-02-26,Switzerland,,1,0,0,,,1
2020-02-27,Italy,,655,17,45,,,593
2020-02-27,Germany,,46,0,16,,,30
2020-02-27,France,,38,2,11,,,25
2020-02-27,Spain,,15,0,2,,,13
2020-02-27,Switzerland,,8,0,0,,,8
2020-02-27,Sweden,,7,0,0,,,7
2020-02-27,Austria,,3,0,0,,,3
2020-02-27,Croatia,,3,0,0,,,3
2020-02-27,Greece,,3,0,0,,,3
2020-02-27,Finland,,2,0,1,,,1
2020-02-27,Belgium,,1,0,1,,,0
2020-02-27,Denmark,,1,0,0,,,1
2020-02-27,Estonia,,1,0,0,,,1
2020-02-27,Netherlands,,1,0,0,,,1
2020-02-27,North Macedonia,,1,0,0,,,1
2020-02-27,Norway,,1,0,0,,,1
2020-02-27,Romania,,1,0,0,,,1
2020-02-27,San Marino,,1,0,0,,,1
2020-02-28,Italy,,888,21,46,,,821
2020-02-28,France,,57,2,11,,,44
2020-02-28,Germany,,48,0,16,,,32
2020-02-28,Spain,,32,0,2,,,30
2020-02-28,Switzerland,,8,0,0,,,8
2020-02-28,Sweden,,7,0,0,,,7
2020-02-28,Norway,,6,0,0,,,6
2020-02-28,Croatia,,5,0,0,,,5
2020-02-28,Greece,,4,0,0,,,4
2020-02-28,Austria,,3,0,0,,,3
2020-02-28,Romania,,3,0,0,,,3
2020-02-28,Finland,,2,0,1,,,1
2020-02-28,Belarus,,1,0,0,,,1
2020-02-28,Belgium,,1,0,1,,,0
2020-02-28,Denmark,,1,0,0,,,1
2020-02-28,Estonia,,1,0,0,,,1
2020-02-28,Iceland,,1,0,0,,,1
2020-02-28,Lithuania,,1,0,0,,,1
2020-02-28,Netherlands,,1,0,0,,,1
2020-02-28,North Macedonia,,1,0,0,,,1
2020-02-28,San Marino,,1,0,0,,,1
2020-02-29,Italy,,1128,29,46,,,1053
2020-02-29,France,,100,2,12,,,86
2020-02-29,Germany,,79,0,16,,,63
2020-02-29,Spain,,45,0,2,,,43
2020-02-29,Switzerland,,18,0,0,,,18
2020-02-29,Norway,,15,0,0,,,15
2020-02-29,Sweden,,12,0,0,,,12
2020-02-29,Austria,,9,0,0,,,9
2020-02-29,Croatia,,6,0,0,,,6
2020-02-29,Netherlands,,6,0,0,,,6
2020-02-29,Greece,,4,0,0,,,4
2020-02-29,Denmark,,3,0,0,,,3
2020-02-29,Finland,,3,0,1,,,2
2020-02-29,Romania,,3,0,0,,,3
2020-02-29,Belarus,,1,0,0,,,1
2020-02-29,Belgium,,1,0,1,,,0
2020-02-29,Estonia,,1,0,0,,,1
2020-02-29,Iceland,,1,0,0,,,1
2020-02-29,Ireland,,1,0,0,,,1
2020-02-29,Lithuania,,1,0,0,,,1
2020-02-29,Luxembourg,,1,0,0,,,1
2020-02-29,Monaco,,1,0,0,,,1
2020-02-29,North Macedonia,,1,0,0,,,1
2020-02-29,San Marino,,1,0,0,,,1
2020-03-01,Italy,,1694,34,83,43.0,12.0,1577
2020-03-01,France,,130,2,12,47.0,2.0,116
2020-03-01,Germany,,130,0,16,51.0,9.0,114
2020-03-01,Spain,,84,0,2,40.0,-4.0,82
2020-03-01,Switzerland,,27,0,0,46.8182,8.2275,27
2020-03-01,Norway,,19,0,0,60.472,8.4689,19
2020-03-01,Austria,,14,0,0,47.5162,14.5501,14
2020-03-01,Sweden,,14,0,0,63.0,16.0,14
2020-03-01,Netherlands,,10,0,0,52.1326,5.2913,10
2020-03-01,Croatia,,7,0,0,45.1,15.2,7
2020-03-01,Greece,,7,0,0,39.0742,21.8243,7
2020-03-01,Finland,,6,0,1,64.0,26.0,5
2020-03-01,Denmark,,4,0,0,56.2639,9.5018,4
2020-03-01,Czech Republic,,3,0,0,49.8175,15.473,3
2020-03-01,Iceland,,3,0,0,64.9631,-19.0208,3
2020-03-01,Romania,,3,0,0,45.9432,24.9668,3
2020-03-01,Belgium,,2,0,1,50.8333,4.0,1
2020-03-01,Belarus,,1,0,0,53.7098,27.9534,1
2020-03-01,Estonia,,1,0,0,58.5953,25.0136,1
2020-03-01,Ireland,,1,0,0,53.1424,-7.6921,1
2020-03-01,Lithuania,,1,0,0,55.1694,23.8813,1
2020-03-01,Luxembourg,,1,0,0,49.8153,6.1296,1
2020-03-01,Monaco,,1,0,0,43.7333,7.4167,1
2020-03-01,North Macedonia,,1,0,0,41.6086,21.7453,1
2020-03-01,San Marino,,1,0,0,43.9424,12.4578,1
2020-03-02,Italy,,2036,52,149,43.0,12.0,1835
2020-03-02,France,,191,3,12,47.0,2.0,176
2020-03-02,Germany,,159,0,16,51.0,9.0,143
2020-03-02,Spain,,120,0,2,40.0,-4.0,118
2020-03-02,Switzerland,,42,0,0,46.8182,8.2275,42
2020-03-02,Norway,,25,0,0,60.472,8.4689,25
2020-03-02,Austria,,18,0,0,47.5162,14.5501,18
2020-03-02,Netherlands,,18,0,0,52.1326,5.2913,18
2020-03-02,Sweden,,15,0,0,63.0,16.0,15
2020-03-02,Belgium,,8,0,1,50.8333,4.0,7
2020-03-02,San Marino,,8,0,0,43.9424,12.4578,8
2020-03-02,Croatia,,7,0,0,45.1,15.2,7
2020-03-02,Greece,,7,0,0,39.0742,21.8243,7
2020-03-02,Finland,,6,0,1,64.0,26.0,5
2020-03-02,Iceland,,6,0,0,64.9631,-19.0208,6
2020-03-02,Denmark,,4,0,0,56.2639,9.5018,4
2020-03-02,Czech Republic,,3,0,0,49.8175,15.473,3
2020-03-02,Romania,,3,0,0,45.9432,24.9668,3
2020-03-02,Portugal,,2,0,0,39.3999,-8.2245,2
2020-03-02,Andorra,,1,0,0,42.5063,1.5218,1
2020-03-02,Belarus,,1,0,0,53.7098,27.9534,1
2020-03-02,Estonia,,1,0,0,58.5953,25.0136,1
2020-03-02,Ireland,,1,0,0,53.1424,-7.6921,1
2020-03-02,Latvia,,1,0,0,56.8796,24.6032,1
2020-03-02,Lithuania,,1,0,0,55.1694,23.8813,1
2020-03-02,Luxembourg,,1,0,0,49.8153,6.1296,1
2020-03-02,Monaco,,1,0,0,43.7333,7.4167,1
2020-03-02,North Macedonia,,1,0,0,41.6086,21.7453,1
2020-03-03,Italy,,2502,79,160,43.0,12.0,2263
2020-03-03,France,,204,4,12,47.0,2.0,188
2020-03-03,Germany,,196,0,16,51.0,9.0,180
2020-03-03,Spain,,165,1,2,40.0,-4.0,162
2020-03-03,Switzerland,,56,0,2,46.8182,8.2275,54
2020-03-03,Norway,,32,0,0,60.472,8.4689,32
2020-03-03,Netherlands,,24,0,0,52.1326,5.2913,24
2020-03-03,Austria,,21,0,0,47.5162,14.5501,21
2020-03-03,Sweden,,21,0,0,63.0,16.0,21
2020-03-03,Belgium,,13,0,1,50.8333,4.0,12
2020-03-03,Iceland,,11,0,0,64.9631,-19.0208,11
2020-03-03,San Marino,,10,1,0,43.9424,12.4578,9
2020-03-03,Croatia,,9,0,0,45.1667,15.5,9
2020-03-03,Greece,,7,0,0,39.0742,21.8243,7
2020-03-03,Denmark,,6,0,0,56.2639,9.5018,6
2020-03-03,Finland,,6,0,1,64.0,26.0,5
2020-03-03,Czech Republic,,5,0,0,49.8175,15.473,5
2020-03-03,Romania,,3,0,0,46.0,25.0,3
2020-03-03,Estonia,,2,0,0,58.5953,25.0136,2
2020-03-03,Ireland,,2,0,0,53.1424,-7.6921,2
2020-03-03,Portugal,,2,0,0,39.3999,-8.2245,2
2020-03-03,Andorra,,1,0,0,42.5063,1.5218,1
2020-03-03,Belarus,,1,0,0,53.7098,27.9534,1
2020-03-03,Latvia,,1,0,0,56.8796,24.6032,1
2020-03-03,Lithuania,,1,0,0,55.1694,23.8813,1
2020-03-03,Luxembourg,,1,0,0,49.8144,6.1317,1
2020-03-03,Monaco,,1,0,0,43.7333,7.4167,1
2020-03-03,North Macedonia,,1,0,0,41.6086,21.7453,1
2020-03-03,Ukraine,,1,0,0,48.3794,31.1656,1
2020-03-04,Italy,,3089,107,276,43.0,12.0,2706
2020-03-04,France,,285,4,12,47.0,2.0,269
2020-03-04,Germany,,262,0,16,51.0,9.0,246
2020-03-04,Spain,,222,2,2,40.0,-4.0,218
2020-03-04,Switzerland,,90,0,3,46.8182,8.2275,87
2020-03-04,Norway,,56,0,0,60.472,8.4689,56
2020-03-04,Netherlands,,38,0,0,52.1326,5.2913,38
2020-03-04,Sweden,,35,0,0,63.0,16.0,35
2020-03-04,Austria,,29,0,0,47.5162,14.5501,29
2020-03-04,Iceland,,26,0,0,64.9631,-19.0208,26
2020-03-04,Belgium,,23,0,1,50.8333,4.0,22
2020-03-04,San Marino,,16,1,0,43.9424,12.4578,15
2020-03-04,Croatia,,10,0,0,45.1667,15.5,10
2020-03-04,Denmark,,10,0,0,56.2639,9.5018,10
2020-03-04,Greece,,9,0,0,39.0742,21.8243,9
2020-03-04,Czech Republic,,8,0,0,49.8175,15.473,8
2020-03-04,Belarus,,6,0,0,53.7098,27.9534,6
2020-03-04,Finland,,6,0,1,64.0,26.0,5
2020-03-04,Ireland,,6,0,0,53.1424,-7.6921,6
2020-03-04,Portugal,,5,0,0,39.3999,-8.2245,5
2020-03-04,Romania,,4,0,1,46.0,25.0,3
2020-03-04,Estonia,,2,0,0,58.5953,25.0136,2
2020-03-04,Hungary,,2,0,0,47.1625,19.5033,2
2020-03-04,Andorra,,1,0,0,42.5063,1.5218,1
2020-03-04,Latvia,,1,0,0,56.8796,24.6032,1
2020-03-04,Liechtenstein,,1,0,0,47.14,9.55,1
2020-03-04,Lithuania,,1,0,0,55.1694,23.8813,1
2020-03-04,Luxembourg,,1,0,0,49.8144,6.1317,1
2020-03-04,Monaco,,1,0,0,43.7333,7.4167,1
2020-03-04,North Macedonia,,1,0,0,41.6086,21.7453,1
2020-03-04,Poland,,1,0,0,51.9194,19.1451,1
2020-03-04,Ukraine,,1,0,0,48.3794,31.1656,1
2020-03-05,Italy,,3858,148,414,43.0,12.0,3296
2020-03-05,Germany,,482,0,16,51.0,9.0,466
2020-03-05,France,,377,6,12,47.0,2.0,359
2020-03-05,Spain,,259,3,2,40.0,-4.0,254
2020-03-05,Switzerland,,114,1,3,46.8182,8.2275,110
2020-03-05,Sweden,,94,0,0,63.0,16.0,94
2020-03-05,Norway,,87,0,0,60.472,8.4689,87
2020-03-05,Netherlands,,82,0,0,52.1326,5.2913,82
2020-03-05,Belgium,,50,0,1,50.8333,4.0,49
2020-03-05,Austria,,41,0,0,47.5162,14.5501,41
2020-03-05,Iceland,,34,0,0,64.9631,-19.0208,34
2020-03-05,Greece,,31,0,0,39.0742,21.8243,31
2020-03-05,San Marino,,21,1,0,43.9424,12.4578,20
2020-03-05,Czech Republic,,12,0,0,49.8175,15.473,12
2020-03-05,Finland,,12,0,1,64.0,26.0,11
2020-03-05,Croatia,,10,0,0,45.1667,15.5,10
2020-03-05,Denmark,,10,0,0,56.2639,9.5018,10
2020-03-05,Portugal,,8,0,0,39.3999,-8.2245,8
2020-03-05,Belarus,,6,0,0,53.7098,27.9534,6
2020-03-05,Ireland,,6,0,0,53.1424,-7.6921,6
2020-03-05,Romania,,6,0,1,46.0,25.0,5
2020-03-05,Estonia,,3,0,0,58.5953,25.0136,3
2020-03-05,Bosnia and Herzegovina,,2,0,0,43.9159,17.6791,2
2020-03-05,Hungary,,2,0,0,47.1625,19.5033,2
2020-03-05,Slovenia,,2,0,0,46.1512,14.9955,2
2020-03-05,Andorra,,1,0,0,42.5063,1.5218,1
2020-03-05,Latvia,,1,0,0,56.8796,24.6032,1
2020-03-05,Liechtenstein,,1,0,0,47.14,9.55,1
2020-03-05,Lithuania,,1,0,0,55.1694,23.8813,1
2020-03-05,Luxembourg,,1,0,0,49.8144,6.1317,1
2020-03-05,Monaco,,1,0,0,43.7333,7.4167,1
2020-03-05,North Macedonia,,1,0,0,41.6086,21.7453,1
2020-03-05,Poland,,1,0,0,51.9194,19.1451,1
2020-03-05,Ukraine,,1,0,0,48.3794,31.1656,1
2020-03-06,Italy,,4636,197,523,43.0,12.0,3916
2020-03-06,Germany,,670,0,17,51.0,9.0,653
2020-03-06,France,,653,9,12,47.0,2.0,632
2020-03-06,Spain,,400,5,2,40.0,-4.0,393
2020-03-06,Switzerland,,214,1,3,46.8182,8.2275,210
2020-03-06,Netherlands,,128,1,0,52.1326,5.2913,127
2020-03-06,Belgium,,109,0,1,50.8333,4.0,108
2020-03-06,Norway,,108,0,0,60.472,8.4689,108
2020-03-06,Sweden,,101,0,0,63.0,16.0,101
2020-03-06,Austria,,55,0,0,47.5162,14.5501,55
2020-03-06,Greece,,45,0,0,39.0742,21.8243,45
2020-03-06,Iceland,,43,0,0,64.9631,-19.0208,43
2020-03-06,Denmark,,23,0,1,56.2639,9.5018,22
2020-03-06,San Marino,,21,1,0,43.9424,12.4578,20
2020-03-06,Czech Republic,,18,0,0,49.8175,15.473,18
2020-03-06,Ireland,,18,0,0,53.1424,-7.6921,18
2020-03-06,Finland,,15,0,1,64.0,26.0,14
2020-03-06,Portugal,,13,0,0,39.3999,-8.2245,13
2020-03-06,Croatia,,11,0,0,45.1667,15.5,11
2020-03-06,Estonia,,10,0,0,58.5953,25.0136,10
2020-03-06,Romania,,9,0,1,46.0,25.0,8
2020-03-06,Slovenia,,7,0,0,46.1512,14.9955,7
2020-03-06,Belarus,,6,0,0,53.7098,27.9534,6
2020-03-06,Poland,,5,0,0,51.9194,19.1451,5
2020-03-06,North Macedonia,,3,0,0,41.6086,21.7453,3
2020-03-06,Bosnia and Herzegovina,,2,0,0,43.9159,17.6791,2
2020-03-06,Hungary,,2,0,0,47.1625,19.5033,2
2020-03-06,Luxembourg,,2,0,0,49.8144,6.1317,2
2020-03-06,Andorra,,1,0,0,42.5063,1.5218,1
2020-03-06,Latvia,,1,0,0,56.8796,24.6032,1
2020-03-06,Liechtenstein,,1,0,0,47.14,9.55,1
2020-03-06,Lithuania,,1,0,0,55.1694,23.8813,1
2020-03-06,Monaco,,1,0,0,43.7333,7.4167,1
2020-03-06,Serbia,,1,0,0,44.0165,21.0059,1
2020-03-06,Slovakia,,1,0,0,48.669,19.699,1
2020-03-06,Ukraine,,1,0,0,48.3794,31.1656,1
2020-03-06,Vatican City,,1,0,0,41.9029,12.4534,1
2020-03-07,Italy,,5883,233,589,43.0,12.0,5061
2020-03-07,France,,949,11,12,47.0,2.0,926
2020-03-07,Germany,,799,0,18,51.0,9.0,781
2020-03-07,Spain,,500,10,30,40.0,-4.0,460
2020-03-07,Switzerland,,268,1,3,46.8182,8.2275,264
2020-03-07,Netherlands,,188,1,0,52.1326,5.2913,187
2020-03-07,Belgium,,169,0,1,50.8333,4.0,168
2020-03-07,Sweden,,161,0,0,63.0,16.0,161
2020-03-07,Norway,,147,0,0,60.472,8.4689,147
2020-03-07,Austria,,79,0,0,47.5162,14.5501,79
2020-03-07,Iceland,,50,0,0,64.9631,-19.0208,50
2020-03-07,Greece,,46,0,0,39.0742,21.8243,46
2020-03-07,Denmark,,23,0,1,56.2639,9.5018,22
2020-03-07,San Marino,,23,1,0,43.9424,12.4578,22
2020-03-07,Portugal,,20,0,0,39.3999,-8.2245,20
2020-03-07,Czech Republic,,19,0,0,49.8175,15.473,19
2020-03-07,Ireland,,18,0,0,53.1424,-7.6921,18
2020-03-07,Finland,,15,0,1,64.0,26.0,14
2020-03-07,Croatia,,12,0,0,45.1667,15.5,12
2020-03-07,Estonia,,10,0,0,58.5953,25.0136,10
2020-03-07,Romania,,9,0,3,46.0,25.0,6
2020-03-07,Slovenia,,7,0,0,46.1512,14.9955,7
2020-03-07,Belarus,,6,0,0,53.7098,27.9534,6
2020-03-07,Poland,,5,0,0,51.9194,19.1451,5
2020-03-07,Hungary,,4,0,0,47.1625,19.5033,4
2020-03-07,Bosnia and Herzegovina,,3,0,0,43.9159,17.6791,3
2020-03-07,Malta,,3,0,0,35.9375,14.3754,3
2020-03-07,North Macedonia,,3,0,0,41.6086,21.7453,3
2020-03-07,Luxembourg,,2,0,0,49.8144,6.1317,2
2020-03-07,Andorra,,1,0,0,42.5063,1.5218,1
2020-03-07,Latvia,,1,0,0,56.8796,24.6032,1
2020-03-07,Liechtenstein,,1,0,0,47.14,9.55,1
2020-03-07,Lithuania,,1,0,0,55.1694,23.8813,1
2020-03-07,Monaco,,1,0,0,43.7333,7.4167,1
2020-03-07,Serbia,,1,0,0,44.0165,21.0059,1
2020-03-07,Slovakia,,1,0,0,48.669,19.699,1
2020-03-07,Ukraine,,1,0,0,48.3794,31.1656,1
2020-03-07,Vatican City,,1,0,0,41.9029,12.4534,1
2020-03-08,Italy,,7375,366,622,43.0,12.0,6387
2020-03-08,France,,1126,19,12,47.0,2.0,1095
2020-03-08,Germany,,1040,0,18,51.0,9.0,1022
2020-03-08,Spain,,673,17,30,40.0,-4.0,626
2020-03-08,Switzerland,,337,2,3,46.8182,8.2275,332
2020-03-08,Netherlands,,265,3,0,52.1326,5.2913,262
2020-03-08,Sweden,,203,0,0,63.0,16.0,203
2020-03-08,Belgium,,200,0,1,50.8333,4.0,199
2020-03-08,Norway,,176,0,0,60.472,8.4689,176
2020-03-08,Austria,,104,0,0,47.5162,14.5501,104
2020-03-08,Greece,,73,0,0,39.0742,21.8243,73
2020-03-08,Iceland,,50,0,0,64.9631,-19.0208,50
2020-03-08,San Marino,,36,1,0,43.9424,12.4578,35
2020-03-08,Denmark,,35,0,1,56.2639,9.5018,34
2020-03-08,Czech Republic,,31,0,0,49.8175,15.473,31
2020-03-08,Portugal,,30,0,0,39.3999,-8.2245,30
2020-03-08,Finland,,23,0,1,64.0,26.0,22
2020-03-08,Ireland,,19,0,0,53.4167,-8.0,19
2020-03-08,Slovenia,,16,0,0,46.1512,14.9955,16
2020-03-08,Romania,,15,0,3,46.0,25.0,12
2020-03-08,Croatia,,12,0,0,45.1667,15.5,12
2020-03-08,Poland,,11,0,0,51.9194,19.1451,11
2020-03-08,Estonia,,10,0,0,58.5953,25.0136,10
2020-03-08,Hungary,,7,0,0,47.1625,19.5033,7
2020-03-08,Belarus,,6,0,0,53.7098,27.9534,6
2020-03-08,Bulgaria,,4,0,0,42.7339,25.4858,4
2020-03-08,Bosnia and Herzegovina,,3,0,0,43.9159,17.6791,3
2020-03-08,Luxembourg,,3,0,0,49.8144,6.1317,3
2020-03-08,Malta,,3,0,0,35.9375,14.3754,3
2020-03-08,North Macedonia,,3,0,0,41.6086,21.7453,3
2020-03-08,Slovakia,,3,0,0,48.669,19.699,3
2020-03-08,Latvia,,2,0,0,56.8796,24.6032,2
2020-03-08,Andorra,,1,0,0,42.5063,1.5218,1
2020-03-08,Liechtenstein,,1,0,0,47.14,9.55,1
2020-03-08,Lithuania,,1,0,0,55.1694,23.8813,1
